,properties.TIPO,properties.RUTA,properties.ESTACION,lat,lon
84,TREN LIGERO,2,CRISTOBAL DE OÃƒâ€˜ATE,20.66749697208964,-103.3134444401627
85,TREN LIGERO,2,OBLATOS,20.67039471167712,-103.32306496849286
86,TREN LIGERO,2,BELISARIO DOMINGUEZ,20.6727197016475,-103.33150678411828
87,TREN LIGERO,2,SAN JUAN DE DIOS,20.67521754625801,-103.3411251517339
88,TREN LIGERO,2,PLAZA UNIVERSIDAD,20.675092136420886,-103.3480980096835
89,TREN LIGERO,2,JUAREZ,20.67488050259005,-103.35535875218653
90,TREN LIGERO,1,PERIFERICO NORTE,20.73080571093873,-103.35227274413093
91,TREN LIGERO,1,DERMATOLOGICO,20.721076857317353,-103.35334045934661
92,TREN LIGERO,1,ATEMAJAC,20.71613703190245,-103.35447614741513
93,TREN LIGERO,1,DIVISION DEL NORTE,20.707460354408557,-103.3553416881471
94,TREN LIGERO,1,AVILA CAMACHO,20.698196670975452,-103.35502888707198
95,TREN LIGERO,1,MEZQUITAN,20.69197917680192,-103.35401141054639
96,TREN LIGERO,1,REFUGIO,20.681992946810077,-103.35403153772475
97,TREN LIGERO,1,MEXICALTZINGO,20.66691139935615,-103.35534137068538
98,TREN LIGERO,1,WASINGTON,20.659266398807173,-103.35922698928786
99,TREN LIGERO,1,SANTA FILOMENA,20.654152182439468,-103.36374190566492
100,TREN LIGERO,1,UNIDAD DEPORTIVA,20.647316472079495,-103.36915246713708
101,TREN LIGERO,1,URDANETA,20.64304237246696,-103.37277349633246
102,TREN LIGERO,1,18 DE MARZO,20.637913275059578,-103.37706818861938
103,TREN LIGERO,1,ISLA RAZA,20.63264543571894,-103.38066152083125
104,TREN LIGERO,1,PATRIA SUR,20.62661991134645,-103.38509082674072
105,TREN LIGERO,1,ESPAÃƒâ€˜A,20.621042833306863,-103.38974656222288
106,TREN LIGERO,1,SANTUARIO MARTIRES DE CRISTO REY,20.613690502931014,-103.39569469918808
107,TREN LIGERO,1,PERIFERICO SUR,20.607053009099914,-103.40144602604073
108,SITREN,1,GREGORIO DAVILA,20.6747158934604,-103.36132448920536
109,SITREN,1,GENERAL CORONADO,20.67461899304272,-103.36501373400434
110,SITREN,1,CHAPULTEPEC,20.674521755849536,-103.36844000722914
111,SITREN,1,PEREZ VERDIA,20.67433530078708,-103.37717176601537
112,SITREN,1,V SALADO ALVAREZ,20.674357765526338,-103.38114732387015
113,SITREN,1,LOPEZ MATEOS,20.674396926216772,-103.3857907384244
114,SITREN,1,MINERVA,20.674425657107406,-103.3888919678468
115,SITREN,1,JUAN PALOMAR Y ARIAS,20.67442772312263,-103.39334894433983
116,SITREN,1,LA GRAN PLAZA,20.67501569319483,-103.40324936037483
117,SITREN,1,CAMARA DEL COMERCIO,20.676100432048962,-103.40827642822607
118,SITREN,1,PATRIA PONIENTE,20.678946414495957,-103.42142547728022
119,SITREN,1,PLAZA GALERIAS,20.6804466959534,-103.42861182796057
120,SITREN,1,STA MARIA DEL PUEBLITO,20.6815876334687,-103.43375620477802
121,SITREN,1,JOCOTAN,20.68298646515399,-103.4393896719505
122,SITREN,1,CIUDAD GRANJA,20.685412837581328,-103.4425884663197
123,SITREN,1,LOS PIRULES,20.688646678450795,-103.44670622212242
124,SITREN,1,FUNERAL COLONIAS,20.691737458811588,-103.45063339640633
125,SITREN,1,CONCENTRO,20.693986140959304,-103.45331800623086
126,SITREN,1,PERIFERICO PONIENTE,20.697480912880888,-103.45367085645206
127,SITREN,1,AVIACION,20.702044996373083,-103.46033485130256
128,TREN LIGERO,3,PERIFERICO ZAPOPAN,20.74113178788663,-103.40743842521717
129,TREN LIGERO,3,BELENES,20.735481514747235,-103.39952900890032
130,TREN LIGERO,3,MERCADO DEL MAR,20.728919888985892,-103.39022352048595
131,TREN LIGERO,3,BASILICA,20.721129904246922,-103.38729165247292
132,TREN LIGERO,3,PLAZA PATRIA,20.71223818068288,-103.37501329013062
133,TREN LIGERO,3,CIRCUNVALACION,20.705529669651078,-103.36456578934589
134,TREN LIGERO,3,FEDERALISMO,20.69937973791444,-103.35491674954599
135,TREN LIGERO,3,NORMAL,20.69524389069482,-103.34863636372414
136,TREN LIGERO,3,SANTUARIO,20.68357103754082,-103.34775778300644
137,TREN LIGERO,3,CATEDRAL,20.675788200314123,-103.34729092707485
138,TREN LIGERO,3,ANALCO,20.668990294645607,-103.3403460034211
139,TREN LIGERO,3,PLAZA DE LA BANDERA,20.665290017167017,-103.33308965508184
140,TREN LIGERO,3,CUCEI,20.658916097694895,-103.32300787239707
141,TREN LIGERO,3,PLAZA DE LA REVOLUCION,20.65026034591899,-103.30910653525444
142,TREN LIGERO,3,CENTRAL CAMIONERA,20.621747974952573,-103.28164405891842
143,TREN LIGERO,3,NODO REVOLUCION,20.631234225409752,-103.29554158732758
144,TREN LIGERO,3,RIO NILO,20.644761956996568,-103.30409527728474
