,lat,lon
0,20.74113178788663,-103.40743842521717
1,20.740714484731384,-103.40683274821454
2,20.74016074292271,-103.40608404036615
3,20.739843074033246,-103.405645111895
4,20.739347464962893,-103.4049498852227
5,20.738747857681055,-103.40404393180309
6,20.738517140779106,-103.40369575972798
7,20.738178337679997,-103.40323059160956
8,20.737790010382923,-103.40264455160427
9,20.737286463825743,-103.40195763014526
10,20.736879941372578,-103.40143689735919
11,20.735481514747235,-103.39952900890032
12,20.735371149618004,-103.39938183458722
13,20.73477617530427,-103.39856209676219
14,20.734198127306502,-103.39775804152316
15,20.733602113296634,-103.39695835672495
16,20.733235478436868,-103.39645522923824
17,20.733152914181805,-103.39634184653136
18,20.73284867678782,-103.395949821118
19,20.732700905740945,-103.39568003884591
20,20.73207961806291,-103.39487177303452
21,20.731418992687207,-103.39395284741845
22,20.731395857873807,-103.39392085257732
23,20.73060622435474,-103.39283567106193
24,20.7302192673204,-103.3923088818116
25,20.72949167861361,-103.3912686419885
26,20.729341925495742,-103.39099338853019
27,20.728919888985892,-103.39022352048595
28,20.728857133800737,-103.38958449103474
29,20.72880798054055,-103.38899949885268
30,20.72874721944363,-103.38800882130046
31,20.72863883915122,-103.38706060184015
32,20.728511406858118,-103.38671665096054
33,20.728081539033322,-103.38637053085698
34,20.727736414456317,-103.38629531832699
35,20.72744652527945,-103.3861966981777
36,20.727051839605416,-103.38645899680704
37,20.72611439363145,-103.38670803215633
38,20.725246803856304,-103.38691882867326
39,20.724389225421692,-103.38714247087275
40,20.724192390402767,-103.38719924422325
41,20.723553471359455,-103.38738352290298
42,20.722743357989213,-103.38763473925056
43,20.72183022975052,-103.38744355468681
44,20.721129904246922,-103.38729165247292
45,20.72046483776526,-103.38741470148686
46,20.72024606372972,-103.3871990145696
47,20.719716500994057,-103.3866769237411
48,20.71938593892706,-103.38616155558564
49,20.719104475493715,-103.38572273096757
50,20.718646576156814,-103.38500883763737
51,20.718483195248442,-103.38475412231944
52,20.717834267707513,-103.38374120995218
53,20.71719837919093,-103.38273508654554
54,20.715613879618864,-103.38022908793806
55,20.714163696942077,-103.37796747003607
56,20.71371915988323,-103.37727421400128
57,20.713275665433564,-103.37658259177527
58,20.713197927676603,-103.37645926469028
59,20.712784458692404,-103.37580328617163
60,20.71268034596569,-103.37563810787637
61,20.71223818068288,-103.37501329013062
62,20.71119769723818,-103.37330107422228
63,20.710866520043343,-103.37292906679865
64,20.709165088831146,-103.37029518332601
65,20.708227280979756,-103.36885590443482
66,20.70797848399593,-103.36847407307182
67,20.70723206683706,-103.36724248822378
68,20.706843493267222,-103.36660135966727
69,20.706839134317658,-103.36659417246639
70,20.706381241288216,-103.36588487886266
71,20.70536839402321,-103.36431598276741
72,20.705043112437636,-103.36380577589375
73,20.704650056847942,-103.36318093541648
74,20.704510132115747,-103.362958506133
75,20.704141709365693,-103.36237284036272
76,20.70391833790292,-103.36201774615132
77,20.703624415683258,-103.36155052156055
78,20.703221382791767,-103.36090985341156
79,20.703101670332178,-103.3607195549425
80,20.703043692095953,-103.36062906234268
81,20.70292951426332,-103.36045084322811
82,20.70260442009121,-103.35994340730655
83,20.702579764421326,-103.35990313698504
84,20.702387483314606,-103.35958912285206
85,20.701977226034924,-103.35897119062788
86,20.701616483834698,-103.35842783660203
87,20.701107527112427,-103.35766126723406
88,20.700894839200686,-103.35734092693714
89,20.700870020832472,-103.35730354598131
90,20.700653222897234,-103.3569605537364
91,20.7002333551734,-103.35629629967691
92,20.69988364851914,-103.35574304366816
93,20.699801956244542,-103.35561380616417
94,20.69937973791444,-103.35491674954599
95,20.699275500928998,-103.35476036383568
96,20.69904759054032,-103.35440539727155
97,20.69880786474962,-103.35404671649974
98,20.69875741400773,-103.35396820622161
99,20.697910511660435,-103.35265030270129
100,20.697446948856744,-103.35192894369237
101,20.6972250146209,-103.35158358335107
